age,average_watch_hours,mobile_app_usage_pct,complaints_raised,received_promotions,referred_by_friend,is_churned,monthly_fee,tenure_days,watch_per_fee_ratio,is_heavy_complainer,is_new_customer,gender_Male,gender_Other,country_Canada,country_France,country_Germany,country_India,country_Ireland,country_UK,country_USA,subscription_type_Premium,subscription_type_Standard
64,20.97,8.74,0,0,0,0,17.86,312,1.1741321388577828,0,0,True,False,False,False,False,False,False,False,True,True,False
68,2.16,42.71,0,0,0,0,14.08,835,0.1534090909090909,0,0,False,False,False,False,False,False,False,False,True,False,True
61,26.22,17.19,1,1,0,0,9.07,156,2.890848952590959,0,0,True,False,False,True,False,False,False,False,False,False,False
72,12.44,59.3,0,1,0,0,8.44,247,1.4739336492890995,0,0,False,False,False,False,False,False,False,True,False,False,False
69,1.61,50.86,0,0,0,0,9.0,774,0.1788888888888889,0,0,True,False,False,False,False,False,False,False,False,False,False
74,7.27,79.12,2,0,0,0,17.81,709,0.40819764177428414,1,0,True,False,False,False,False,True,False,False,False,True,False
20,7.74,38.18,0,0,0,1,17.96,1026,0.4309576837416481,0,0,False,False,False,False,False,True,False,False,False,True,False
54,4.2,11.81,1,0,1,1,18.22,289,0.23051591657519213,0,0,True,False,False,False,False,False,False,False,False,True,False
68,32.17,70.71,0,0,0,0,14.1,128,2.2815602836879436,0,0,False,False,False,False,False,False,False,True,False,False,True
24,7.58,37.74,0,0,0,1,13.93,211,0.5441493180186647,0,0,False,False,False,False,False,False,False,False,True,False,True
38,9.65,36.1,1,0,0,0,8.9,198,1.0842696629213484,0,0,True,False,False,False,False,False,True,False,False,False,False
26,24.39,34.65,0,0,0,0,8.2,262,2.9743902439024392,0,0,True,False,False,False,True,False,False,False,False,False,False
56,9.52,58.61,3,1,1,1,9.14,985,1.0415754923413565,1,0,True,False,False,False,False,True,False,False,False,False,False
35,6.63,73.87,0,0,1,0,14.03,501,0.47255880256593014,0,0,True,False,False,False,False,False,False,False,False,False,True
21,4.58,63.49,1,0,0,0,17.48,708,0.2620137299771167,0,0,True,False,True,False,False,False,False,False,False,True,False
42,8.54,65.39,1,0,1,1,18.25,410,0.467945205479452,0,0,True,False,False,False,True,False,False,False,False,True,False
31,6.84,57.83,0,0,0,0,9.0,280,0.76,0,0,True,False,True,False,False,False,False,False,False,False,False
67,6.29,20.8,0,0,0,0,14.11,348,0.44578313253012053,0,0,False,False,True,False,False,False,False,False,False,False,True
26,6.92,10.8,0,0,0,1,14.59,222,0.4742974640164496,0,0,False,False,False,True,False,False,False,False,False,False,True
43,2.71,43.06,2,1,0,1,14.27,966,0.18990889978976874,1,0,False,False,False,False,False,True,False,False,False,False,True
70,12.11,52.32,1,0,0,1,14.18,630,0.8540197461212976,0,0,True,False,False,False,False,False,False,False,True,False,True
19,3.67,36.9,3,0,0,1,8.68,636,0.42281105990783413,1,0,True,False,False,True,False,False,False,False,False,False,False
37,2.87,69.02,0,0,0,1,17.85,794,0.16078431372549018,0,0,False,False,True,False,False,False,False,False,False,True,False
45,5.44,88.83,0,0,0,0,13.79,914,0.39448875997099353,0,0,False,False,False,False,False,False,False,False,True,False,True
64,7.95,29.95,0,0,1,0,14.2,1020,0.5598591549295775,0,0,False,False,False,False,False,False,False,True,False,False,True
24,4.01,27.61,0,1,1,0,9.31,535,0.430719656283566,0,0,True,False,False,False,False,False,True,False,False,False,False
61,2.76,24.21,1,0,0,1,8.86,94,0.3115124153498871,0,0,False,False,True,False,False,False,False,False,False,False,False
25,15.62,48.01,1,0,0,1,8.74,251,1.7871853546910754,0,0,False,False,False,False,False,True,False,False,False,False,False
64,2.74,22.34,0,0,0,0,14.09,495,0.1944641589779986,0,0,True,False,False,False,False,False,True,False,False,False,True
52,5.93,74.83,1,1,1,0,17.74,101,0.3342728297632469,0,0,True,False,False,False,False,False,False,False,True,True,False
31,5.98,17.51,0,0,1,0,13.8,917,0.43333333333333335,0,0,False,False,True,False,False,False,False,False,False,False,True
34,18.2,38.29,0,0,0,0,14.49,503,1.2560386473429952,0,0,True,False,False,False,True,False,False,False,False,False,True
53,4.02,29.33,0,1,0,0,13.53,684,0.29711751662971175,0,0,True,False,False,True,False,False,False,False,False,False,True
67,8.06,73.76,2,0,0,0,8.97,48,0.8985507246376812,1,1,False,False,False,False,False,True,False,False,False,False,False
57,12.91,64.24,0,0,0,0,14.65,551,0.8812286689419795,0,0,False,False,False,False,False,False,False,True,False,False,True
21,6.15,65.39,0,0,0,0,13.18,813,0.4666160849772383,0,0,True,False,False,False,False,False,False,False,False,False,True
19,5.13,41.27,0,0,0,0,8.8,444,0.5829545454545454,0,0,True,False,False,False,False,False,False,True,False,False,False
23,6.37,32.18,0,0,0,0,9.08,393,0.7015418502202643,0,0,True,False,False,True,False,False,False,False,False,False,False
71,4.44,24.45,0,0,0,0,14.74,557,0.3012211668928087,0,0,False,False,True,False,False,False,False,False,False,False,True
59,8.45,17.2,1,0,0,0,8.53,825,0.9906213364595545,0,0,True,False,False,True,False,False,False,False,False,False,False
21,2.64,70.89,0,0,0,0,17.89,472,0.1475684740078256,0,0,False,True,False,False,False,True,False,False,False,True,False
71,7.15,38.7,0,1,0,0,13.7,294,0.5218978102189782,0,0,True,False,False,False,False,False,False,True,False,False,True
46,8.13,44.02,1,0,0,1,9.75,679,0.8338461538461539,0,0,True,False,False,False,False,False,False,False,False,False,False
35,3.02,34.47,1,1,0,1,8.87,538,0.34047350620067646,0,0,False,False,False,False,True,False,False,False,False,False,False
43,15.93,52.88,1,0,0,0,17.69,495,0.9005087620124363,0,0,False,False,False,False,False,False,True,False,False,True,False
61,5.05,39.98,0,0,0,0,13.98,394,0.36123032904148783,0,0,True,False,False,True,False,False,False,False,False,False,True
51,1.81,67.25,0,0,0,1,14.23,522,0.12719606465214336,0,0,True,False,False,False,True,False,False,False,False,False,True
27,6.51,23.92,0,0,0,0,9.6,571,0.678125,0,0,False,True,False,False,False,False,False,True,False,False,False
53,19.13,43.55,0,1,0,0,17.57,752,1.0887877063175868,0,0,True,False,False,False,False,False,False,False,False,True,False
31,9.19,67.19,2,1,0,0,14.39,871,0.6386379430159833,1,0,False,False,False,False,False,False,True,False,False,False,True
48,6.8,72.36,1,1,0,1,14.12,329,0.48158640226628896,0,0,True,False,False,False,False,True,False,False,False,False,True
65,15.04,52.01,0,0,0,0,18.24,203,0.8245614035087719,0,0,False,False,False,False,False,False,False,False,False,True,False
32,10.69,54.46,1,0,1,0,8.49,675,1.2591283863368667,0,0,False,False,False,False,True,False,False,False,False,False,False
25,8.98,20.08,1,0,0,1,13.7,53,0.6554744525547446,0,1,True,False,False,False,False,False,False,False,True,False,True
31,7.86,24.16,1,0,1,0,8.65,760,0.9086705202312139,0,0,False,False,False,False,False,False,False,False,True,False,False
40,1.88,82.76,0,1,0,1,13.74,36,0.13682678311499272,0,1,True,False,False,False,False,False,True,False,False,False,True
74,8.53,17.63,1,0,0,1,9.34,1059,0.9132762312633832,0,0,True,False,False,True,False,False,False,False,False,False,False
57,3.19,10.06,0,0,1,0,18.19,907,0.17537108301264429,0,0,False,False,False,False,False,False,True,False,False,True,False
38,1.92,23.28,0,0,0,1,8.78,195,0.21867881548974943,0,0,True,False,False,False,False,False,True,False,False,False,False
33,11.42,27.71,0,1,0,0,13.19,457,0.8658074298711145,0,0,False,False,False,False,False,False,False,False,True,False,True
62,3.0,44.81,1,0,0,1,17.82,174,0.16835016835016836,0,0,True,False,False,False,True,False,False,False,False,True,False
35,28.78,69.14,2,0,0,0,17.6,962,1.6352272727272728,1,0,True,False,False,True,False,False,False,False,False,True,False
64,11.99,80.91,0,0,0,1,14.61,538,0.8206707734428474,0,0,True,False,False,False,False,False,True,False,False,False,True
70,3.17,74.17,1,0,0,0,13.64,936,0.23240469208211142,0,0,True,False,False,False,False,False,False,False,True,False,True
41,7.22,39.19,0,1,1,0,9.26,674,0.7796976241900648,0,0,True,False,False,False,False,False,True,False,False,False,False
43,7.79,74.77,0,0,0,1,9.4,105,0.8287234042553191,0,0,False,False,False,False,False,False,True,False,False,False,False
42,4.36,2.63,2,0,1,1,14.06,853,0.310099573257468,1,0,False,False,False,True,False,False,False,False,False,False,True
62,19.51,17.23,0,1,0,0,8.69,1091,2.2451093210586883,0,0,False,False,False,True,False,False,False,False,False,False,False
58,9.56,28.87,1,0,0,0,8.75,595,1.0925714285714285,0,0,True,False,False,False,False,False,False,False,False,False,False
46,9.23,82.62,1,0,0,0,9.55,646,0.9664921465968586,0,0,True,False,False,False,False,False,True,False,False,False,False
32,20.53,79.57,0,0,1,0,14.31,410,1.43466107617051,0,0,True,False,False,False,False,False,False,False,True,False,True
62,8.76,67.68,0,1,0,0,14.87,877,0.5891055817081372,0,0,True,False,False,False,True,False,False,False,False,False,True
18,16.14,43.9,0,0,0,1,8.59,332,1.8789289871944121,0,0,False,False,False,False,False,False,False,False,True,False,False
42,7.3,14.19,0,0,0,0,9.2,785,0.7934782608695653,0,0,True,False,False,False,False,False,False,False,True,False,False
24,5.05,84.75,0,0,0,0,14.23,193,0.3548840477863668,0,0,True,False,False,False,False,False,True,False,False,False,True
26,6.11,50.33,0,1,0,0,14.02,130,0.4358059914407989,0,0,False,False,False,False,False,False,False,False,False,False,True
41,11.45,67.28,4,0,0,0,14.26,927,0.802945301542777,1,0,True,False,True,False,False,False,False,False,False,False,True
18,8.71,25.38,1,0,0,1,18.18,812,0.47909790979097916,0,0,True,False,False,False,False,True,False,False,False,True,False
61,9.91,89.15,1,0,1,0,9.19,397,1.0783460282916213,0,0,True,False,True,False,False,False,False,False,False,False,False
25,13.16,54.74,1,1,0,0,8.75,756,1.504,0,0,True,False,True,False,False,False,False,False,False,False,False
41,12.23,83.65,1,1,0,0,8.54,401,1.4320843091334896,0,0,False,False,False,False,False,False,False,False,True,False,False
28,25.95,23.18,0,1,1,0,13.25,891,1.9584905660377359,0,0,True,False,False,False,False,False,True,False,False,False,True
68,5.92,52.09,0,0,0,1,13.55,309,0.43690036900369,0,0,True,False,False,True,False,False,False,False,False,False,True
34,7.82,36.9,2,0,1,1,9.89,345,0.7906976744186046,1,0,True,False,False,False,False,True,False,False,False,False,False
25,15.49,19.63,0,0,0,0,13.78,845,1.1240928882438317,0,0,True,False,True,False,False,False,False,False,False,False,True
52,1.79,16.86,2,0,0,1,14.55,180,0.12302405498281786,1,0,True,False,False,False,False,False,False,True,False,False,True
52,17.99,64.64,0,1,1,0,17.96,1038,1.0016703786191536,0,0,False,False,False,False,False,False,False,True,False,True,False
50,5.94,57.5,2,1,0,1,13.84,698,0.4291907514450867,1,0,False,False,False,False,False,False,False,True,False,False,True
22,3.52,57.11,2,1,0,1,14.41,436,0.24427480916030533,1,0,False,False,False,False,True,False,False,False,False,False,True
59,6.06,93.77,1,1,0,0,13.96,316,0.43409742120343836,0,0,True,False,False,False,False,False,True,False,False,False,True
56,23.53,55.43,2,1,0,0,17.89,946,1.315259921743991,1,0,False,False,False,False,False,False,False,False,True,True,False
58,10.11,89.67,0,0,0,0,18.0,521,0.5616666666666666,0,0,False,False,False,False,False,False,False,False,True,True,False
45,8.25,13.89,0,0,1,1,13.79,1062,0.5982596084118927,0,0,True,False,False,False,False,False,True,False,False,False,True
24,6.21,41.26,0,0,0,0,14.54,767,0.4270976616231087,0,0,False,False,False,False,False,False,False,False,False,False,True
26,7.18,22.91,3,0,0,1,13.74,160,0.5225618631732168,1,0,True,False,False,True,False,False,False,False,False,False,True
25,16.65,84.63,0,0,0,0,14.21,1026,1.171710063335679,0,0,True,False,False,False,False,True,False,False,False,False,True
29,14.11,56.7,2,1,0,0,14.63,527,0.9644565960355433,1,0,False,False,False,False,False,False,False,False,False,False,True
51,7.36,52.4,1,0,1,0,9.22,651,0.7982646420824295,0,0,True,False,False,True,False,False,False,False,False,False,False
50,5.92,47.03,0,1,0,1,18.1,918,0.32707182320441985,0,0,False,False,False,False,True,False,False,False,False,True,False
65,12.05,76.3,0,0,0,0,13.66,383,0.8821376281112738,0,0,True,False,False,False,False,False,True,False,False,False,True
72,12.8,28.2,2,1,1,1,17.77,300,0.7203151378728194,1,0,False,False,False,False,False,False,False,False,False,True,False
40,7.01,44.43,1,0,1,0,14.38,461,0.48748261474269816,0,0,False,False,False,False,False,True,False,False,False,False,True
41,12.78,60.29,0,0,0,0,13.36,768,0.9565868263473054,0,0,False,False,False,False,True,False,False,False,False,False,True
54,13.93,49.15,0,1,0,0,9.81,501,1.419979612640163,0,0,True,False,True,False,False,False,False,False,False,False,False
52,22.57,54.58,0,1,0,0,13.91,537,1.6225736879942487,0,0,True,False,True,False,False,False,False,False,False,False,True
61,6.72,44.79,2,0,0,1,14.79,84,0.4543610547667343,1,1,True,False,False,False,True,False,False,False,False,False,True
57,6.53,67.76,0,0,0,1,8.7,66,0.7505747126436783,0,1,True,False,False,True,False,False,False,False,False,False,False
39,4.71,63.36,0,1,0,0,17.94,929,0.2625418060200669,0,0,True,False,False,False,False,False,True,False,False,True,False
44,9.45,47.72,1,0,1,0,8.65,84,1.092485549132948,0,1,False,False,True,False,False,False,False,False,False,False,False
52,17.39,51.18,0,0,0,1,13.45,553,1.2929368029739778,0,0,False,False,False,False,False,False,True,False,False,False,True
18,8.91,65.92,1,0,0,1,9.37,944,0.9509071504802562,0,0,False,True,False,False,False,False,False,False,False,False,False
52,22.94,29.63,1,1,1,1,17.96,492,1.27728285077951,0,0,True,False,True,False,False,False,False,False,False,True,False
54,25.6,18.65,0,0,0,0,9.59,726,2.669447340980188,0,0,True,False,False,False,False,True,False,False,False,False,False
64,6.32,38.62,0,0,0,0,14.16,745,0.4463276836158192,0,0,True,False,False,False,False,True,False,False,False,False,True
31,3.32,71.69,0,1,0,0,8.56,1060,0.38785046728971956,0,0,False,False,False,False,False,False,False,False,False,False,False
20,8.02,46.97,0,1,0,0,13.95,761,0.5749103942652329,0,0,False,False,False,False,False,True,False,False,False,False,True
18,3.63,41.5,0,1,0,0,17.58,1018,0.20648464163822527,0,0,False,False,False,False,False,False,True,False,False,True,False
22,3.23,62.23,0,0,0,1,9.15,241,0.3530054644808743,0,0,False,False,False,True,False,False,False,False,False,False,False
43,10.42,48.18,1,0,0,0,13.66,783,0.7628111273792093,0,0,False,False,False,False,False,False,True,False,False,False,True
72,4.24,73.23,0,0,0,0,8.87,465,0.4780157835400226,0,0,True,False,False,True,False,False,False,False,False,False,False
31,5.79,72.01,0,1,0,1,14.02,113,0.41298145506419404,0,0,True,False,False,False,False,True,False,False,False,False,True
56,1.85,73.78,3,1,1,1,13.52,808,0.13683431952662722,1,0,False,False,False,False,False,False,False,True,False,False,True
44,4.2,44.29,0,0,0,1,13.88,863,0.3025936599423631,0,0,True,False,False,False,True,False,False,False,False,False,True
26,13.09,59.27,0,0,0,1,14.55,490,0.8996563573883161,0,0,True,False,False,True,False,False,False,False,False,False,True
32,3.06,35.4,0,0,0,1,14.21,206,0.21534130893736805,0,0,False,False,False,False,False,False,False,False,True,False,True
32,3.79,73.44,1,0,0,0,9.43,341,0.4019088016967126,0,0,False,True,False,False,True,False,False,False,False,False,False
43,12.66,17.37,0,0,1,1,13.51,215,0.9370836417468542,0,0,False,False,False,False,False,True,False,False,False,False,True
59,10.94,87.64,1,1,0,0,8.86,275,1.234762979683973,0,0,False,False,False,False,False,False,True,False,False,False,False
30,3.5,48.27,2,0,0,0,13.65,1046,0.2564102564102564,1,0,False,False,False,True,False,False,False,False,False,False,True
68,4.36,52.06,2,1,0,1,18.19,413,0.23969213853765806,1,0,True,False,False,False,False,False,True,False,False,True,False
49,2.11,87.94,0,0,0,0,8.33,1095,0.25330132052821125,0,0,True,False,False,False,True,False,False,False,False,False,False
56,17.32,13.43,0,0,0,1,9.19,314,1.8846572361262244,0,0,False,False,False,True,False,False,False,False,False,False,False
66,5.93,84.27,0,1,0,0,9.43,1009,0.6288441145281017,0,0,False,False,False,False,False,False,True,False,False,False,False
69,5.37,49.99,0,1,0,0,18.16,1017,0.29570484581497797,0,0,True,False,False,False,False,False,False,False,False,True,False
49,4.52,30.61,0,0,0,1,17.84,329,0.2533632286995515,0,0,False,False,True,False,False,False,False,False,False,True,False
21,12.48,57.68,0,0,0,0,9.53,930,1.3095487932843652,0,0,True,False,False,False,False,False,True,False,False,False,False
47,9.6,45.78,1,0,0,0,13.78,903,0.6966618287373004,0,0,True,False,False,True,False,False,False,False,False,False,True
54,6.35,65.31,1,0,0,0,9.02,515,0.7039911308203991,0,0,False,False,False,False,False,True,False,False,False,False,False
40,7.38,45.57,1,0,0,0,14.15,465,0.5215547703180212,0,0,True,False,False,False,False,True,False,False,False,False,True
56,5.15,56.32,1,0,0,0,13.56,835,0.3797935103244838,0,0,True,False,False,False,True,False,False,False,False,False,True
62,8.65,27.74,2,0,0,0,14.61,210,0.592060232717317,1,0,True,False,False,False,True,False,False,False,False,False,True
32,9.87,41.67,2,1,0,0,18.11,912,0.545002760905577,1,0,False,False,False,False,True,False,False,False,False,True,False
60,2.96,71.9,2,0,1,0,14.27,906,0.2074281709880869,1,0,True,False,False,False,False,True,False,False,False,False,True
46,2.28,49.32,1,0,1,0,8.85,723,0.2576271186440678,0,0,False,False,False,False,False,False,False,True,False,False,False
53,16.57,23.98,1,0,1,0,14.02,369,1.18188302425107,0,0,False,False,False,True,False,False,False,False,False,False,True
30,10.56,58.53,0,0,1,0,14.07,520,0.7505330490405118,0,0,True,False,False,False,False,True,False,False,False,False,True
49,4.99,70.99,0,0,0,1,17.99,524,0.2773763201778766,0,0,False,True,False,False,False,False,False,False,False,True,False
24,4.51,21.11,0,1,0,1,9.22,759,0.48915401301518435,0,0,True,False,False,False,False,True,False,False,False,False,False
68,10.18,52.23,0,0,0,1,13.96,485,0.7292263610315186,0,0,False,True,False,False,False,False,False,False,False,False,True
39,5.33,67.8,0,1,0,0,13.61,134,0.39162380602498165,0,0,False,False,False,False,False,True,False,False,False,False,True
45,8.43,73.21,2,0,0,1,13.74,748,0.6135371179039301,1,0,False,True,False,False,False,True,False,False,False,False,True
19,2.17,66.29,1,1,0,0,8.61,468,0.25203252032520324,0,0,True,False,False,False,False,False,False,True,False,False,False
59,6.11,14.79,1,1,0,1,18.03,680,0.338879645036051,0,0,False,False,False,False,False,False,False,False,False,True,False
62,13.08,61.37,0,1,0,0,9.85,538,1.3279187817258884,0,0,True,False,False,False,False,False,False,True,False,False,False
74,6.5,50.85,0,1,1,0,9.02,280,0.7206208425720622,0,0,True,False,False,False,False,False,False,False,False,False,False
70,3.76,59.73,1,0,0,0,17.53,994,0.21448944666286363,0,0,False,False,False,False,False,False,False,True,False,True,False
23,8.28,37.42,0,1,1,1,8.91,76,0.9292929292929292,0,1,True,False,False,False,False,False,False,True,False,False,False
45,14.14,60.31,0,1,0,0,9.06,908,1.5607064017660044,0,0,False,False,False,False,False,False,False,False,False,False,False
45,6.96,85.41,0,0,1,0,14.54,1047,0.4786795048143054,0,0,True,False,False,False,False,False,False,True,False,False,True
61,2.4,45.32,1,1,0,0,9.61,804,0.24973985431841833,0,0,True,False,False,False,False,True,False,False,False,False,False
61,2.08,52.45,2,0,0,1,18.09,914,0.11498065229408513,1,0,False,False,False,False,False,False,False,False,False,True,False
37,26.44,18.86,0,1,0,0,14.56,93,1.815934065934066,0,0,True,False,False,False,False,False,False,True,False,False,True
47,15.39,56.17,1,1,0,0,13.51,349,1.139156180606958,0,0,False,False,False,False,False,True,False,False,False,False,True
28,17.16,49.4,0,1,1,0,8.93,889,1.9216125419932812,0,0,False,False,False,False,False,True,False,False,False,False,False
72,5.63,62.03,1,1,0,0,9.56,809,0.5889121338912133,0,0,False,False,False,False,True,False,False,False,False,False,False
45,8.97,61.3,1,0,0,1,13.75,58,0.6523636363636364,0,1,True,False,False,False,False,False,False,False,True,False,True
42,7.6,70.42,0,0,0,1,13.36,466,0.5688622754491018,0,0,False,False,False,False,False,False,False,False,False,False,True
56,9.9,50.45,1,0,1,0,13.69,792,0.723155588020453,0,0,False,True,False,False,False,False,False,True,False,False,True
50,2.59,60.03,0,0,0,1,9.27,765,0.27939590075512405,0,0,False,False,False,False,True,False,False,False,False,False,False
18,3.74,32.1,0,0,0,0,13.69,480,0.2731921110299489,0,0,False,False,False,False,False,False,False,False,True,False,True
74,7.32,27.61,2,0,1,1,8.46,662,0.8652482269503545,1,0,False,False,False,True,False,False,False,False,False,False,False
44,14.53,78.63,0,1,0,1,13.46,262,1.0794947994056463,0,0,False,False,False,True,False,False,False,False,False,False,True
74,10.51,64.76,2,0,0,1,14.25,229,0.7375438596491228,1,0,False,False,False,False,False,False,False,True,False,False,True
69,7.64,24.52,0,1,0,1,9.9,703,0.7717171717171717,0,0,True,False,False,True,False,False,False,False,False,False,False
30,19.79,73.24,0,0,0,0,13.96,578,1.4176217765042978,0,0,True,False,False,False,False,False,False,False,True,False,True
58,8.31,37.61,1,0,0,1,8.9,966,0.9337078651685393,0,0,False,False,False,False,False,False,False,False,False,False,False
20,1.42,18.44,0,0,1,0,13.99,126,0.10150107219442459,0,0,True,False,False,False,False,True,False,False,False,False,True
56,18.17,49.95,1,1,0,1,13.1,78,1.387022900763359,0,1,False,False,False,False,False,True,False,False,False,False,True
23,3.66,47.57,0,0,0,0,8.99,925,0.407119021134594,0,0,True,False,False,False,False,False,False,False,True,False,False
25,28.65,67.2,0,0,0,0,18.26,551,1.5690032858707554,0,0,False,False,False,True,False,False,False,False,False,True,False
44,1.56,56.88,0,1,0,1,14.09,69,0.1107168204400284,0,1,True,False,False,False,False,True,False,False,False,False,True
26,11.6,76.64,1,1,0,1,18.18,943,0.6380638063806381,0,0,True,False,False,True,False,False,False,False,False,True,False
54,13.85,36.59,0,1,0,0,8.9,582,1.5561797752808988,0,0,False,False,True,False,False,False,False,False,False,False,False
50,3.05,29.97,0,1,0,0,17.24,705,0.1769141531322506,0,0,False,False,False,False,False,False,True,False,False,True,False
68,3.27,48.61,1,0,1,1,8.74,799,0.37414187643020597,0,0,False,False,False,False,False,True,False,False,False,False,False
59,10.04,59.13,1,0,0,0,14.25,240,0.7045614035087718,0,0,True,False,True,False,False,False,False,False,False,False,True
61,17.08,33.44,0,1,1,0,18.15,462,0.9410468319559229,0,0,False,False,False,False,False,False,False,False,False,True,False
41,16.8,80.75,1,0,0,0,9.13,736,1.8400876232201533,0,0,False,False,False,False,False,False,False,False,False,False,False
32,9.5,55.64,0,0,1,0,9.24,594,1.028138528138528,0,0,False,False,False,False,False,False,False,False,True,False,False
71,6.54,21.74,0,1,0,0,14.17,176,0.46153846153846156,0,0,True,False,False,False,False,True,False,False,False,False,True
49,4.23,21.88,0,0,0,1,14.36,311,0.29456824512534824,0,0,False,False,False,True,False,False,False,False,False,False,True
49,2.69,75.93,0,0,0,0,14.25,784,0.1887719298245614,0,0,False,False,False,False,False,True,False,False,False,False,True
41,4.87,33.87,0,1,0,0,9.55,524,0.5099476439790576,0,0,False,True,False,True,False,False,False,False,False,False,False
58,10.66,53.96,0,0,1,1,14.3,438,0.7454545454545455,0,0,True,False,False,True,False,False,False,False,False,False,True
