user_id,age,gender,signup_date,last_active_date,country,subscription_type,average_watch_hours,mobile_app_usage_pct,complaints_raised,received_promotions,referred_by_friend,is_churned,monthly_fee
20,70,Male,2025-08-07,2026-08-13,USA,Basic,3.11,53.9,2,0,0,0,8.06
21,19,Female,2026-03-02,2026-08-10,Germany,Standard,5.33,71.49,0,0,0,0,14.12
22,41,Male,2025-12-29,2026-08-10,Australia,Basic,11.21,27.44,0,0,0,0,9.25
23,61,Male,2023-10-21,2026-08-17,India,Standard,3.09,48.7,0,0,0,0,14.43
24,47,Female,2024-03-12,2026-08-10,UK,Standard,5.01,60.9,0,0,0,0,14.79
25,55,Female,2024-03-28,2026-08-12,India,Premium,15.59,16.04,0,1,0,0,18.46
26,19,Male,2023-10-30,2026-08-11,France,Basic,12.76,24.39,0,0,0,0,9.22
27,38,Other,2025-09-11,2026-08-13,India,Basic,4.16,63.02,2,0,0,0,9.55
28,50,Male,2026-03-06,2026-08-13,France,Standard,16.68,78.66,0,0,0,0,13.8
29,29,Female,2025-08-04,2026-08-13,USA,Basic,6.81,57.89,1,0,0,0,8.44
30,39,Female,2026-01-29,2026-08-12,Ireland,Standard,14.57,80.12,0,1,0,0,14.18
31,61,Male,2026-05-03,2026-07-23,Ireland,Standard,15.5,53.12,1,0,0,1,13.45
32,42,Male,2023-11-15,2026-08-13,Germany,Basic,4.77,39.2,1,0,0,0,8.93
33,66,Male,2024-12-29,2026-08-13,France,Premium,4.01,69.93,0,1,0,0,17.85
34,44,Male,2024-03-10,2026-08-11,Ireland,Basic,26.01,22.55,1,1,0,0,9.05
35,59,Female,2026-05-25,2026-05-25,Germany,Premium,10.04,82.57,0,1,0,1,18.07
36,45,Male,2025-07-23,2026-05-12,USA,Premium,2.97,54.17,1,0,0,1,18.04
37,33,Male,2026-03-09,2026-08-19,USA,Standard,2.04,28.21,0,0,0,0,13.64
38,32,Male,2026-07-07,2026-07-07,India,Basic,5.16,45.8,0,0,0,1,8.6
39,64,Male,2025-10-11,2026-08-12,USA,Premium,20.97,8.74,0,0,0,0,17.86
40,68,Female,2024-05-06,2026-08-17,USA,Standard,2.16,42.71,0,0,0,0,14.08
41,61,Male,2026-03-16,2026-08-17,France,Basic,26.22,17.19,1,1,0,0,9.07
42,72,Female,2025-12-15,2026-08-15,UK,Basic,12.44,59.3,0,1,0,0,8.44
43,69,Male,2024-07-06,2026-08-10,Australia,Basic,1.61,50.86,0,0,0,0,9.0
44,74,Male,2024-09-09,2026-08-11,India,Premium,7.27,79.12,2,0,0,0,17.81
45,20,Female,2023-10-28,2026-05-17,India,Premium,7.74,38.18,0,0,0,1,17.96
46,54,Male,2025-11-03,2026-05-03,Australia,Premium,4.2,11.81,1,0,1,1,18.22
47,68,Female,2026-04-13,2026-08-13,UK,Standard,32.17,70.71,0,0,0,0,14.1
48,24,Female,2026-01-20,2026-06-27,USA,Standard,7.58,37.74,0,0,0,1,13.93
49,38,Male,2026-02-02,2026-08-18,Ireland,Basic,9.65,36.1,1,0,0,0,8.9
50,26,Male,2025-11-30,2026-08-10,Germany,Basic,24.39,34.65,0,0,0,0,8.2
51,56,Male,2023-12-08,2026-08-04,India,Basic,9.52,58.61,3,1,1,1,9.14
52,35,Male,2025-04-05,2026-08-17,Australia,Standard,6.63,73.87,0,0,1,0,14.03
53,21,Male,2024-09-10,2026-08-10,Canada,Premium,4.58,63.49,1,0,0,0,17.48
54,42,Male,2025-07-05,2026-06-02,Germany,Premium,8.54,65.39,1,0,1,1,18.25
55,31,Male,2025-11-12,2026-08-15,Canada,Basic,6.84,57.83,0,0,0,0,9.0
56,67,Female,2025-09-05,2026-08-14,Canada,Standard,6.29,20.8,0,0,0,0,14.11
57,26,Female,2026-01-09,2026-07-03,France,Standard,6.92,10.8,0,0,0,1,14.59
58,43,Female,2023-12-27,2026-07-18,India,Standard,2.71,43.06,2,1,0,1,14.27
59,70,Male,2024-11-27,2026-06-16,USA,Standard,12.11,52.32,1,0,0,1,14.18
60,19,Male,2024-11-21,2026-05-06,France,Basic,3.67,36.9,3,0,0,1,8.68
61,37,Female,2024-06-16,2026-05-10,Canada,Premium,2.87,69.02,0,0,0,1,17.85
62,45,Female,2024-02-17,2026-08-17,USA,Standard,5.44,88.83,0,0,0,0,13.79
63,64,Female,2023-11-03,2026-08-13,UK,Standard,7.95,29.95,0,0,1,0,14.2
64,24,Male,2025-03-02,2026-08-13,Ireland,Basic,4.01,27.61,0,1,1,0,9.31
65,61,Female,2026-05-17,2026-05-17,Canada,Basic,2.76,24.21,1,0,0,1,8.86
66,25,Female,2025-12-11,2026-05-18,India,Basic,15.62,48.01,1,0,0,1,8.74
67,64,Male,2025-04-11,2026-08-19,Ireland,Standard,2.74,22.34,0,0,0,0,14.09
68,52,Male,2026-05-10,2026-08-17,USA,Premium,5.93,74.83,1,1,1,0,17.74
69,31,Female,2024-02-14,2026-08-16,Canada,Standard,5.98,17.51,0,0,1,0,13.8
70,34,Male,2025-04-03,2026-08-18,Germany,Standard,18.2,38.29,0,0,0,0,14.49
71,53,Male,2024-10-04,2026-08-14,France,Standard,4.02,29.33,0,1,0,0,13.53
72,67,Female,2026-07-02,2026-08-10,India,Basic,8.06,73.76,2,0,0,0,8.97
73,57,Female,2025-02-14,2026-08-18,UK,Standard,12.91,64.24,0,0,0,0,14.65
74,21,Male,2024-05-28,2026-08-14,Australia,Standard,6.15,65.39,0,0,0,0,13.18
75,19,Male,2025-06-01,2026-08-17,UK,Basic,5.13,41.27,0,0,0,0,8.8
76,23,Male,2025-07-22,2026-08-18,France,Basic,6.37,32.18,0,0,0,0,9.08
77,71,Female,2025-02-08,2026-08-18,Canada,Standard,4.44,24.45,0,0,0,0,14.74
78,59,Male,2024-05-16,2026-08-11,France,Basic,8.45,17.2,1,0,0,0,8.53
79,21,Other,2025-05-04,2026-08-15,India,Premium,2.64,70.89,0,0,0,0,17.89
80,71,Male,2025-10-29,2026-08-11,UK,Standard,7.15,38.7,0,1,0,0,13.7
81,46,Male,2024-10-09,2026-07-22,Australia,Basic,8.13,44.02,1,0,0,1,9.75
82,35,Female,2025-02-27,2026-05-01,Germany,Basic,3.02,34.47,1,1,0,1,8.87
83,43,Female,2025-04-11,2026-08-19,Ireland,Premium,15.93,52.88,1,0,0,0,17.69
84,61,Male,2025-07-21,2026-08-10,France,Standard,5.05,39.98,0,0,0,0,13.98
85,51,Male,2025-03-15,2026-05-05,Germany,Standard,1.81,67.25,0,0,0,1,14.23
86,27,Other,2025-01-25,2026-08-10,UK,Basic,6.51,23.92,0,0,0,0,9.6
87,53,Male,2024-07-28,2026-08-12,Australia,Premium,19.13,43.55,0,1,0,0,17.57
88,31,Female,2024-03-31,2026-08-19,Ireland,Standard,9.19,67.19,2,1,0,0,14.39
89,48,Male,2025-09-24,2026-05-11,India,Standard,6.8,72.36,1,1,0,1,14.12
90,65,Female,2026-01-28,2026-08-12,Australia,Premium,15.04,52.01,0,0,0,0,18.24
91,32,Female,2024-10-13,2026-08-17,Germany,Basic,10.69,54.46,1,0,1,0,8.49
92,25,Male,2026-06-27,2026-06-27,USA,Standard,8.98,20.08,1,0,0,1,13.7
93,31,Female,2024-07-20,2026-08-18,USA,Basic,7.86,24.16,1,0,1,0,8.65
94,40,Male,2026-07-14,2026-07-14,Ireland,Standard,1.88,82.76,0,1,0,1,13.74
95,74,Male,2023-09-25,2026-04-24,France,Basic,8.53,17.63,1,0,0,1,9.34
96,57,Female,2024-02-24,2026-08-11,Ireland,Premium,3.19,10.06,0,0,1,0,18.19
97,38,Male,2026-02-05,2026-05-27,Ireland,Basic,1.92,23.28,0,0,0,1,8.78
98,33,Female,2025-05-19,2026-08-19,USA,Standard,11.42,27.71,0,1,0,0,13.19
99,62,Male,2026-02-26,2026-07-12,Germany,Premium,3.0,44.81,1,0,0,1,17.82
100,35,Male,2023-12-31,2026-08-17,France,Premium,28.78,69.14,2,0,0,0,17.6
101,64,Male,2025-02-27,2026-06-15,Ireland,Standard,11.99,80.91,0,0,0,1,14.61
102,70,Male,2024-01-26,2026-08-17,USA,Standard,3.17,74.17,1,0,0,0,13.64
103,41,Male,2024-10-14,2026-08-10,Ireland,Basic,7.22,39.19,0,1,1,0,9.26
104,43,Female,2026-05-06,2026-07-13,Ireland,Basic,7.79,74.77,0,0,0,1,9.4
105,42,Female,2024-04-18,2026-07-15,France,Standard,4.36,2.63,2,0,1,1,14.06
106,62,Female,2023-08-24,2026-08-10,France,Basic,19.51,17.23,0,1,0,0,8.69
107,58,Male,2025-01-01,2026-08-14,Australia,Basic,9.56,28.87,1,0,0,0,8.75
108,46,Male,2024-11-11,2026-08-10,Ireland,Basic,9.23,82.62,1,0,0,0,9.55
109,32,Male,2025-07-05,2026-08-14,USA,Standard,20.53,79.57,0,0,1,0,14.31
110,62,Male,2024-03-25,2026-08-12,Germany,Standard,8.76,67.68,0,1,0,0,14.87
111,18,Female,2025-09-21,2026-05-05,USA,Basic,16.14,43.9,0,0,0,1,8.59
112,42,Male,2024-06-25,2026-08-19,USA,Basic,7.3,14.19,0,0,0,0,9.2
113,24,Male,2026-02-07,2026-08-19,Ireland,Standard,5.05,84.75,0,0,0,0,14.23
114,26,Female,2026-04-11,2026-08-16,Australia,Standard,6.11,50.33,0,1,0,0,14.02
115,41,Male,2024-02-04,2026-08-16,Canada,Standard,11.45,67.28,4,0,0,0,14.26
116,18,Male,2024-05-29,2026-05-09,India,Premium,8.71,25.38,1,0,0,1,18.18
117,61,Male,2025-07-18,2026-08-17,Canada,Basic,9.91,89.15,1,0,1,0,9.19
118,25,Male,2024-07-24,2026-08-18,Canada,Basic,13.16,54.74,1,1,0,0,8.75
119,41,Female,2025-07-14,2026-08-14,USA,Basic,12.23,83.65,1,1,0,0,8.54
120,28,Male,2024-03-11,2026-08-11,Ireland,Standard,25.95,23.18,0,1,1,0,13.25
121,68,Male,2025-10-14,2026-06-27,France,Standard,5.92,52.09,0,0,0,1,13.55
122,34,Male,2025-09-08,2026-05-03,India,Basic,7.82,36.9,2,0,1,1,9.89
123,25,Male,2024-04-26,2026-08-15,Canada,Standard,15.49,19.63,0,0,0,0,13.78
124,52,Male,2026-02-20,2026-06-20,UK,Standard,1.79,16.86,2,0,0,1,14.55
125,52,Female,2023-10-16,2026-08-18,UK,Premium,17.99,64.64,0,1,1,0,17.96
126,50,Female,2024-09-20,2026-05-28,UK,Standard,5.94,57.5,2,1,0,1,13.84
127,22,Female,2025-06-09,2026-07-24,Germany,Standard,3.52,57.11,2,1,0,1,14.41
128,59,Male,2025-10-07,2026-08-19,Ireland,Standard,6.06,93.77,1,1,0,0,13.96
129,56,Female,2024-01-16,2026-08-15,USA,Premium,23.53,55.43,2,1,0,0,17.89
130,58,Female,2025-03-16,2026-08-19,USA,Premium,10.11,89.67,0,0,0,0,18.0
131,45,Male,2023-09-22,2026-05-10,Ireland,Standard,8.25,13.89,0,0,1,1,13.79
132,24,Female,2024-07-13,2026-08-11,Australia,Standard,6.21,41.26,0,0,0,0,14.54
133,26,Male,2026-03-12,2026-06-01,France,Standard,7.18,22.91,3,0,0,1,13.74
134,25,Male,2023-10-28,2026-08-18,India,Standard,16.65,84.63,0,0,0,0,14.21
135,29,Female,2025-03-10,2026-08-10,Australia,Standard,14.11,56.7,2,1,0,0,14.63
136,51,Male,2024-11-06,2026-08-12,France,Basic,7.36,52.4,1,0,1,0,9.22
137,50,Female,2024-02-13,2026-07-31,Germany,Premium,5.92,47.03,0,1,0,1,18.1
138,65,Male,2025-08-01,2026-08-12,Ireland,Standard,12.05,76.3,0,0,0,0,13.66
139,72,Female,2025-10-23,2026-07-27,Australia,Premium,12.8,28.2,2,1,1,1,17.77
140,40,Female,2025-05-15,2026-08-12,India,Standard,7.01,44.43,1,0,1,0,14.38
141,41,Female,2024-07-12,2026-08-18,Germany,Standard,12.78,60.29,0,0,0,0,13.36
142,54,Male,2025-04-05,2026-08-11,Canada,Basic,13.93,49.15,0,1,0,0,9.81
143,52,Male,2025-02-28,2026-08-15,Canada,Standard,22.57,54.58,0,1,0,0,13.91
144,61,Male,2026-05-27,2026-05-27,Germany,Standard,6.72,44.79,2,0,0,1,14.79
145,57,Male,2026-06-14,2026-06-14,France,Basic,6.53,67.76,0,0,0,1,8.7
146,39,Male,2024-02-02,2026-08-13,Ireland,Premium,4.71,63.36,0,1,0,0,17.94
147,44,Female,2026-05-27,2026-08-17,Canada,Basic,9.45,47.72,1,0,1,0,8.65
148,52,Female,2025-02-12,2026-07-19,Ireland,Standard,17.39,51.18,0,0,0,1,13.45
149,18,Other,2024-01-18,2026-05-29,Australia,Basic,8.91,65.92,1,0,0,1,9.37
150,52,Male,2025-04-14,2026-04-30,Canada,Premium,22.94,29.63,1,1,1,1,17.96
151,54,Male,2024-08-23,2026-08-14,India,Basic,25.6,18.65,0,0,0,0,9.59
152,64,Male,2024-08-04,2026-08-14,India,Standard,6.32,38.62,0,0,0,0,14.16
153,31,Female,2023-09-24,2026-08-14,Australia,Basic,3.32,71.69,0,1,0,0,8.56
154,20,Female,2024-07-19,2026-08-15,India,Standard,8.02,46.97,0,1,0,0,13.95
155,18,Female,2023-11-05,2026-08-13,Ireland,Premium,3.63,41.5,0,1,0,0,17.58
156,22,Female,2025-12-21,2026-07-12,France,Basic,3.23,62.23,0,0,0,1,9.15
157,43,Female,2024-06-27,2026-08-16,Ireland,Standard,10.42,48.18,1,0,0,0,13.66
158,72,Male,2025-05-11,2026-08-10,France,Basic,4.24,73.23,0,0,0,0,8.87
159,31,Male,2026-04-28,2026-05-16,India,Standard,5.79,72.01,0,1,0,1,14.02
160,56,Female,2024-06-02,2026-06-23,UK,Standard,1.85,73.78,3,1,1,1,13.52
161,44,Male,2024-04-08,2026-06-02,Germany,Standard,4.2,44.29,0,0,0,1,13.88
162,26,Male,2025-04-16,2026-05-05,France,Standard,13.09,59.27,0,0,0,1,14.55
163,32,Female,2026-01-25,2026-04-27,USA,Standard,3.06,35.4,0,0,0,1,14.21
164,32,Other,2025-09-12,2026-08-16,Germany,Basic,3.79,73.44,1,0,0,0,9.43
165,43,Female,2026-01-16,2026-04-29,India,Standard,12.66,17.37,0,0,1,1,13.51
166,59,Female,2025-11-17,2026-08-10,Ireland,Basic,10.94,87.64,1,1,0,0,8.86
167,30,Female,2023-10-08,2026-08-19,France,Standard,3.5,48.27,2,0,0,0,13.65
168,68,Male,2025-07-02,2026-07-08,Ireland,Premium,4.36,52.06,2,1,0,1,18.19
169,49,Male,2023-08-20,2026-08-13,Germany,Basic,2.11,87.94,0,0,0,0,8.33
170,56,Female,2025-10-09,2026-05-18,France,Basic,17.32,13.43,0,0,0,1,9.19
171,66,Female,2023-11-14,2026-08-12,Ireland,Basic,5.93,84.27,0,1,0,0,9.43
172,69,Male,2023-11-06,2026-08-16,Australia,Premium,5.37,49.99,0,1,0,0,18.16
173,49,Female,2025-09-24,2026-07-22,Canada,Premium,4.52,30.61,0,0,0,1,17.84
174,21,Male,2024-02-01,2026-08-18,Ireland,Basic,12.48,57.68,0,0,0,0,9.53
175,47,Male,2024-02-28,2026-08-15,France,Standard,9.6,45.78,1,0,0,0,13.78
176,54,Female,2025-03-22,2026-08-10,India,Basic,6.35,65.31,1,0,0,0,9.02
177,40,Male,2025-05-11,2026-08-14,India,Standard,7.38,45.57,1,0,0,0,14.15
178,56,Male,2024-05-06,2026-08-14,Germany,Standard,5.15,56.32,1,0,0,0,13.56
179,62,Male,2026-01-21,2026-08-15,Germany,Standard,8.65,27.74,2,0,0,0,14.61
180,32,Female,2024-02-19,2026-08-17,Germany,Premium,9.87,41.67,2,1,0,0,18.11
181,60,Male,2024-02-25,2026-08-18,India,Standard,2.96,71.9,2,0,1,0,14.27
182,46,Female,2024-08-26,2026-08-14,UK,Basic,2.28,49.32,1,0,1,0,8.85
183,53,Female,2025-08-15,2026-08-12,France,Standard,16.57,23.98,1,0,1,0,14.02
184,30,Male,2025-03-17,2026-08-15,India,Standard,10.56,58.53,0,0,1,0,14.07
185,49,Other,2025-03-13,2026-06-28,Australia,Premium,4.99,70.99,0,0,0,1,17.99
186,24,Male,2024-07-21,2026-06-28,India,Basic,4.51,21.11,0,1,0,1,9.22
187,68,Other,2025-04-21,2026-06-20,Australia,Standard,10.18,52.23,0,0,0,1,13.96
188,39,Female,2026-04-07,2026-08-17,India,Standard,5.33,67.8,0,1,0,0,13.61
189,45,Other,2024-08-01,2026-07-28,India,Standard,8.43,73.21,2,0,0,1,13.74
190,19,Male,2025-05-08,2026-08-15,UK,Basic,2.17,66.29,1,1,0,0,8.61
191,59,Female,2024-10-08,2026-07-18,Australia,Premium,6.11,14.79,1,1,0,1,18.03
192,62,Male,2025-02-27,2026-08-13,UK,Basic,13.08,61.37,0,1,0,0,9.85
193,74,Male,2025-11-12,2026-08-13,Australia,Basic,6.5,50.85,0,1,1,0,9.02
194,70,Female,2023-11-29,2026-08-19,UK,Premium,3.76,59.73,1,0,0,0,17.53
195,23,Male,2026-06-04,2026-06-04,UK,Basic,8.28,37.42,0,1,1,1,8.91
196,45,Female,2024-02-23,2026-08-16,Australia,Basic,14.14,60.31,0,1,0,0,9.06
197,45,Male,2023-10-07,2026-08-18,UK,Standard,6.96,85.41,0,0,1,0,14.54
198,61,Male,2024-06-06,2026-08-18,India,Basic,2.4,45.32,1,1,0,0,9.61
199,61,Female,2024-02-17,2026-07-02,Australia,Premium,2.08,52.45,2,0,0,1,18.09
200,37,Male,2026-05-18,2026-08-17,UK,Standard,26.44,18.86,0,1,0,0,14.56
201,47,Female,2025-09-04,2026-08-18,India,Standard,15.39,56.17,1,1,0,0,13.51
202,28,Female,2024-03-13,2026-08-16,India,Basic,17.16,49.4,0,1,1,0,8.93
203,72,Female,2024-06-01,2026-08-17,Germany,Basic,5.63,62.03,1,1,0,0,9.56
204,45,Male,2026-06-22,2026-06-26,USA,Standard,8.97,61.3,1,0,0,1,13.75
205,42,Female,2025-05-10,2026-08-03,Australia,Standard,7.6,70.42,0,0,0,1,13.36
206,56,Other,2024-06-18,2026-08-16,UK,Standard,9.9,50.45,1,0,1,0,13.69
207,50,Female,2024-07-15,2026-07-05,Germany,Basic,2.59,60.03,0,0,0,1,9.27
208,18,Female,2025-04-26,2026-08-13,USA,Standard,3.74,32.1,0,0,0,0,13.69
209,74,Female,2024-10-26,2026-06-11,France,Basic,7.32,27.61,2,0,1,1,8.46
210,44,Female,2025-11-30,2026-05-12,France,Standard,14.53,78.63,0,1,0,1,13.46
211,74,Female,2026-01-02,2026-05-06,UK,Standard,10.51,64.76,2,0,0,1,14.25
212,69,Male,2024-09-15,2026-07-14,France,Basic,7.64,24.52,0,1,0,1,9.9
213,30,Male,2025-01-18,2026-08-10,USA,Standard,19.79,73.24,0,0,0,0,13.96
214,58,Female,2023-12-27,2026-04-22,Australia,Basic,8.31,37.61,1,0,0,1,8.9
215,20,Male,2026-04-15,2026-08-13,India,Standard,1.42,18.44,0,0,1,0,13.99
216,56,Female,2026-06-02,2026-06-02,India,Standard,18.17,49.95,1,1,0,1,13.1
217,23,Male,2024-02-06,2026-08-18,USA,Basic,3.66,47.57,0,0,0,0,8.99
218,25,Female,2025-02-14,2026-08-11,France,Premium,28.65,67.2,0,0,0,0,18.26
219,44,Male,2026-06-11,2026-06-20,India,Standard,1.56,56.88,0,1,0,1,14.09
220,26,Male,2024-01-19,2026-06-06,France,Premium,11.6,76.64,1,1,0,1,18.18
221,54,Female,2025-01-14,2026-08-17,Canada,Basic,13.85,36.59,0,1,0,0,8.9
222,50,Female,2024-09-13,2026-08-17,Ireland,Premium,3.05,29.97,0,1,0,0,17.24
223,68,Female,2024-06-11,2026-04-27,India,Basic,3.27,48.61,1,0,1,1,8.74
224,59,Male,2025-12-22,2026-08-13,Canada,Standard,10.04,59.13,1,0,0,0,14.25
225,61,Female,2025-05-14,2026-08-19,Australia,Premium,17.08,33.44,0,1,1,0,18.15
226,41,Female,2024-08-13,2026-08-13,Australia,Basic,16.8,80.75,1,0,0,0,9.13
227,32,Female,2025-01-02,2026-08-16,USA,Basic,9.5,55.64,0,0,1,0,9.24
228,71,Male,2026-02-24,2026-08-14,India,Standard,6.54,21.74,0,1,0,0,14.17
229,49,Female,2025-10-12,2026-05-03,France,Standard,4.23,21.88,0,0,0,1,14.36
230,49,Female,2024-06-26,2026-08-13,India,Standard,2.69,75.93,0,0,0,0,14.25
231,41,Other,2025-03-13,2026-08-13,France,Basic,4.87,33.87,0,1,0,0,9.55
232,58,Male,2025-06-07,2026-05-18,France,Standard,10.66,53.96,0,0,1,1,14.3
233,69,Female,2025-10-21,2026-08-10,India,Basic,3.68,32.27,0,0,0,0,8.97
234,66,Female,2025-04-19,2026-08-18,France,Premium,16.81,66.82,1,0,0,0,18.49
235,66,Male,2026-06-05,2026-08-11,Germany,Standard,8.07,59.86,0,0,0,0,14.46
236,69,Male,2025-09-13,2026-08-18,UK,Standard,5.84,64.1,0,1,0,0,14.16
237,29,Male,2025-01-05,2026-05-11,Ireland,Basic,2.81,16.38,0,1,0,1,9.39
238,56,Male,2025-08-24,2026-07-18,India,Premium,2.73,40.85,1,0,0,1,17.94
239,19,Male,2026-07-10,2026-08-10,UK,Standard,16.44,48.04,0,1,1,0,13.62
240,20,Female,2024-01-25,2026-06-11,Germany,Premium,9.92,32.08,3,0,1,1,18.56
241,66,Female,2026-07-13,2026-08-17,France,Basic,6.54,29.73,0,0,0,0,9.55
242,54,Female,2023-11-10,2026-08-14,France,Standard,5.37,51.66,2,0,0,0,13.21
243,66,Female,2025-01-01,2026-08-15,Australia,Standard,9.07,84.01,0,1,0,0,13.75
244,73,Male,2025-10-21,2026-07-13,Ireland,Basic,7.49,42.76,0,0,0,1,9.36
245,34,Male,2023-12-23,2026-08-15,Canada,Standard,24.06,34.23,1,0,0,0,13.27
246,66,Female,2024-02-01,2026-08-16,Australia,Basic,10.34,57.44,0,0,0,0,9.66
247,19,Male,2026-03-12,2026-08-14,Australia,Basic,10.05,81.5,1,1,0,0,9.73
248,19,Male,2024-07-27,2026-08-18,France,Basic,9.41,85.0,2,1,1,0,8.43
249,45,Male,2024-10-25,2026-08-12,USA,Standard,11.13,38.08,0,0,0,0,14.28
250,71,Male,2026-03-29,2026-07-07,Germany,Standard,5.97,39.61,2,0,0,1,13.77
251,40,Female,2025-02-04,2026-08-19,USA,Standard,3.65,91.29,0,1,0,0,13.91
252,54,Male,2023-09-10,2026-08-15,USA,Basic,15.55,42.88,0,0,0,0,8.39
253,49,Male,2026-06-18,2026-08-13,UK,Standard,8.2,95.1,0,0,1,0,14.15
254,50,Male,2026-03-10,2026-08-16,Australia,Premium,5.14,78.57,0,1,0,0,18.14
255,18,Female,2024-01-13,2026-08-16,France,Basic,9.5,29.65,0,0,0,0,8.85
256,36,Male,2023-11-19,2026-08-17,Germany,Basic,5.68,21.21,2,0,0,0,9.58
257,19,Female,2026-06-25,2026-08-15,USA,Standard,10.18,46.75,0,0,0,0,14.82
258,70,Male,2024-11-27,2026-08-19,France,Standard,10.84,57.29,0,0,0,0,13.91
259,61,Male,2025-01-22,2026-08-19,France,Standard,5.03,39.58,0,1,0,0,13.52
260,43,Female,2026-07-03,2026-07-03,France,Standard,8.43,53.84,0,0,1,1,13.19
261,49,Male,2023-12-30,2026-08-18,Canada,Basic,18.85,45.86,1,0,0,0,9.7
262,23,Male,2025-10-05,2026-08-18,Ireland,Premium,32.35,24.92,0,0,0,0,17.86
263,49,Male,2023-09-04,2026-08-11,France,Standard,12.99,31.96,0,0,1,0,14.0
264,72,Female,2024-04-25,2026-08-17,India,Basic,12.69,18.82,0,1,0,0,8.75
265,21,Male,2026-04-04,2026-06-14,Germany,Basic,3.89,61.86,0,1,0,1,8.74
266,72,Female,2023-11-21,2026-08-14,UK,Standard,9.19,51.57,0,0,0,0,14.22
267,28,Male,2023-12-16,2026-08-11,Germany,Standard,1.65,93.74,0,0,0,0,13.93
268,73,Male,2024-07-13,2026-08-15,Australia,Standard,3.93,50.19,0,1,0,0,13.33
269,34,Male,2025-08-31,2026-04-25,UK,Premium,2.17,62.47,0,0,0,1,18.1
270,55,Female,2024-03-06,2026-08-17,Ireland,Basic,9.41,77.58,2,0,0,0,8.62
271,41,Male,2024-07-16,2026-05-29,France,Premium,5.76,94.52,0,0,0,1,18.28
272,22,Male,2024-05-19,2026-08-12,Canada,Standard,3.96,53.19,2,1,0,0,13.8
273,69,Male,2025-10-05,2026-07-02,USA,Standard,12.67,26.73,1,1,0,1,13.66
274,51,Male,2023-08-25,2026-08-11,Germany,Premium,6.67,27.05,0,1,0,0,17.73
275,23,Male,2024-02-10,2026-04-26,UK,Standard,3.76,43.5,1,0,0,1,13.32
276,39,Female,2026-06-08,2026-08-10,France,Basic,27.03,51.8,0,0,0,0,9.23
277,28,Male,2026-07-12,2026-08-02,Ireland,Premium,34.34,4.24,1,1,1,1,18.65
278,65,Male,2026-01-18,2026-08-13,USA,Standard,20.78,89.56,0,1,0,0,14.25
279,33,Female,2024-02-07,2026-06-14,India,Standard,2.52,29.19,1,1,0,1,13.99
280,50,Male,2024-03-03,2026-08-15,Ireland,Premium,4.55,77.11,0,0,0,0,17.96
281,26,Male,2025-02-03,2026-08-17,Canada,Standard,9.17,42.3,2,1,0,0,13.82
282,23,Male,2023-10-25,2026-07-30,USA,Standard,12.34,26.63,0,0,0,1,13.54
283,33,Female,2024-09-26,2026-08-10,USA,Standard,10.1,78.33,0,0,0,0,14.46
284,46,Male,2023-12-10,2026-08-15,India,Standard,13.88,40.98,0,0,0,0,13.79
285,20,Female,2026-05-13,2026-08-14,France,Basic,10.78,66.64,0,0,0,0,8.98
286,37,Male,2025-09-23,2026-07-10,USA,Standard,16.21,16.96,1,1,0,1,14.72
